破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 17 	 1 	 0.5 	 1 	 25
2 	 24 	 1 	 0.5 	 1 	 25
3 	 25 	 1 	 0.5 	 2 	 100
4 	 29 	 1 	 0.5 	 1 	 25
5 	 43 	 1 	 0.5 	 2 	 200
6 	 71 	 1 	 0.5 	 2 	 100
7 	 88 	 1 	 0.5 	 1 	 25
8 	 92 	 1 	 0.5 	 2 	 100
9 	 100 	 1 	 0.5 	 1 	 37.5
10 	 113 	 1 	 0.5 	 2 	 150
11 	 118 	 1 	 0.5 	 1 	 25
12 	 127 	 1 	 0.5 	 2 	 125
13 	 135 	 1 	 0.5 	 1 	 50
14 	 143 	 1 	 0.5 	 1 	 37.5
15 	 154 	 1 	 0.5 	 2 	 150
16 	 162 	 1 	 0.5 	 2 	 200
17 	 164 	 1 	 0.5 	 1 	 50
18 	 166 	 1 	 0.5 	 1 	 37.5
19 	 179 	 1 	 0.5 	 1 	 50
20 	 182 	 1 	 0.5 	 1 	 25
21 	 199 	 1 	 0.5 	 2 	 100
22 	 226 	 1 	 0.5 	 1 	 25
23 	 246 	 1 	 0.5 	 1 	 25
24 	 249 	 1 	 0.5 	 1 	 25
25 	 252 	 1 	 0.5 	 1 	 25
26 	 262 	 1 	 0.5 	 1 	 25
27 	 264 	 1 	 0.5 	 2 	 100
28 	 276 	 1 	 0.5 	 1 	 25
29 	 281 	 1 	 0.5 	 1 	 37.5
30 	 306 	 1 	 0.5 	 1 	 50
