破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 3 	 1 	 0.5 	 1 	 25
2 	 12 	 1 	 0.5 	 1 	 25
3 	 15 	 1 	 0.5 	 1 	 31.25
4 	 34 	 1 	 0.5 	 1 	 50
5 	 55 	 1 	 0.5 	 1 	 25
6 	 67 	 1 	 0.5 	 1 	 50
7 	 83 	 1 	 0.5 	 1 	 25
8 	 91 	 1 	 0.5 	 2 	 100
9 	 92 	 1 	 0.5 	 1 	 25
10 	 93 	 1 	 0.5 	 1 	 25
11 	 94 	 1 	 0.5 	 1 	 25
12 	 95 	 1 	 0.5 	 1 	 25
13 	 99 	 1 	 0.5 	 1 	 37.5
14 	 112 	 1 	 0.5 	 1 	 37.5
15 	 119 	 1 	 0.5 	 1 	 25
16 	 122 	 1 	 0.5 	 1 	 25
17 	 133 	 1 	 0.5 	 1 	 37.5
18 	 144 	 1 	 0.5 	 1 	 25
19 	 146 	 1 	 0.5 	 2 	 125
20 	 164 	 1 	 0.5 	 1 	 50
21 	 168 	 1 	 0.5 	 1 	 31.25
22 	 190 	 1 	 0.5 	 1 	 25
23 	 200 	 1 	 0.5 	 2 	 100
24 	 216 	 1 	 0.5 	 2 	 100
25 	 272 	 1 	 0.5 	 1 	 31.25
26 	 283 	 1 	 0.5 	 2 	 100
27 	 287 	 1 	 0.5 	 1 	 25
28 	 292 	 1 	 0.5 	 1 	 87.5
29 	 298 	 1 	 0.5 	 1 	 25
30 	 313 	 1 	 0.5 	 1 	 50
