破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 1 	 1 	 0.5 	 1 	 31.25
2 	 5 	 1 	 0.5 	 1 	 25
3 	 6 	 1 	 0.5 	 1 	 25
4 	 7 	 1 	 0.5 	 1 	 25
5 	 11 	 1 	 0.5 	 1 	 25
6 	 12 	 1 	 0.5 	 1 	 25
7 	 13 	 1 	 0.5 	 1 	 25
8 	 22 	 1 	 0.5 	 1 	 50
9 	 24 	 1 	 0.5 	 2 	 100
10 	 26 	 1 	 0.5 	 1 	 25
11 	 27 	 1 	 0.5 	 1 	 25
12 	 32 	 1 	 0.5 	 1 	 25
13 	 34 	 1 	 0.5 	 2 	 200
14 	 37 	 1 	 0.5 	 2 	 200
15 	 38 	 1 	 0.5 	 1 	 50
16 	 39 	 1 	 0.5 	 1 	 50
17 	 40 	 1 	 0.5 	 2 	 200
18 	 41 	 1 	 0.5 	 1 	 50
19 	 43 	 1 	 0.5 	 1 	 50
20 	 45 	 1 	 0.5 	 1 	 50
21 	 47 	 1 	 0.5 	 1 	 37.5
22 	 51 	 1 	 0.5 	 1 	 37.5
23 	 55 	 1 	 0.5 	 1 	 25
24 	 56 	 1 	 0.5 	 1 	 25
25 	 58 	 1 	 0.5 	 1 	 31.25
26 	 59 	 1 	 0.5 	 2 	 150
27 	 63 	 1 	 0.5 	 1 	 37.5
28 	 70 	 1 	 0.5 	 1 	 25
29 	 72 	 1 	 0.5 	 1 	 25
30 	 75 	 1 	 0.5 	 1 	 25
31 	 77 	 1 	 0.5 	 1 	 25
32 	 78 	 1 	 0.5 	 2 	 100
33 	 79 	 1 	 0.5 	 1 	 25
34 	 82 	 1 	 0.5 	 1 	 25
35 	 85 	 1 	 0.5 	 1 	 25
36 	 86 	 1 	 0.5 	 1 	 25
37 	 90 	 1 	 0.5 	 1 	 25
38 	 91 	 1 	 0.5 	 1 	 25
39 	 92 	 1 	 0.5 	 1 	 25
40 	 93 	 1 	 0.5 	 1 	 25
41 	 95 	 1 	 0.5 	 1 	 25
42 	 98 	 1 	 0.5 	 1 	 25
43 	 103 	 1 	 0.5 	 1 	 37.5
44 	 107 	 1 	 0.5 	 1 	 31.25
45 	 108 	 1 	 0.5 	 1 	 25
46 	 110 	 1 	 0.5 	 1 	 31.25
47 	 116 	 1 	 0.5 	 1 	 25
48 	 119 	 1 	 0.5 	 1 	 25
49 	 120 	 1 	 0.5 	 1 	 25
50 	 121 	 1 	 0.5 	 1 	 31.25
51 	 124 	 1 	 0.5 	 1 	 25
52 	 127 	 1 	 0.5 	 1 	 31.25
53 	 128 	 1 	 0.5 	 1 	 31.25
54 	 130 	 1 	 0.5 	 1 	 31.25
55 	 133 	 1 	 0.5 	 1 	 37.5
56 	 134 	 1 	 0.5 	 1 	 37.5
57 	 135 	 1 	 0.5 	 1 	 50
58 	 137 	 1 	 0.5 	 1 	 50
59 	 138 	 1 	 0.5 	 1 	 50
60 	 141 	 1 	 0.5 	 1 	 50
61 	 143 	 1 	 0.5 	 1 	 37.5
62 	 144 	 1 	 0.5 	 1 	 25
63 	 145 	 1 	 0.5 	 1 	 25
64 	 147 	 1 	 0.5 	 1 	 25
65 	 149 	 1 	 0.5 	 1 	 37.5
66 	 155 	 1 	 0.5 	 1 	 50
67 	 158 	 1 	 0.5 	 1 	 75
68 	 162 	 1 	 0.5 	 1 	 50
69 	 165 	 1 	 0.5 	 1 	 37.5
70 	 166 	 1 	 0.5 	 1 	 37.5
71 	 169 	 1 	 0.5 	 1 	 31.25
72 	 171 	 1 	 0.5 	 1 	 37.5
73 	 173 	 1 	 0.5 	 1 	 25
74 	 175 	 1 	 0.5 	 1 	 31.25
75 	 177 	 1 	 0.5 	 1 	 37.5
76 	 179 	 1 	 0.5 	 1 	 50
77 	 182 	 1 	 0.5 	 1 	 25
78 	 183 	 1 	 0.5 	 1 	 50
79 	 185 	 1 	 0.5 	 1 	 31.25
80 	 187 	 1 	 0.5 	 1 	 31.25
81 	 188 	 1 	 0.5 	 1 	 25
82 	 191 	 1 	 0.5 	 1 	 37.5
83 	 194 	 1 	 0.5 	 2 	 100
84 	 197 	 1 	 0.5 	 1 	 37.5
85 	 203 	 1 	 0.5 	 1 	 25
86 	 204 	 1 	 0.5 	 1 	 25
87 	 205 	 1 	 0.5 	 1 	 31.25
88 	 210 	 1 	 0.5 	 1 	 25
89 	 214 	 1 	 0.5 	 1 	 25
90 	 218 	 1 	 0.5 	 1 	 37.5
91 	 222 	 1 	 0.5 	 1 	 25
92 	 223 	 1 	 0.5 	 1 	 25
93 	 224 	 1 	 0.5 	 2 	 125
94 	 227 	 1 	 0.5 	 1 	 25
95 	 228 	 1 	 0.5 	 1 	 25
96 	 229 	 1 	 0.5 	 1 	 25
97 	 230 	 1 	 0.5 	 1 	 25
98 	 233 	 1 	 0.5 	 1 	 25
99 	 237 	 1 	 0.5 	 1 	 25
100 	 239 	 1 	 0.5 	 2 	 100
101 	 241 	 1 	 0.5 	 1 	 31.25
102 	 244 	 1 	 0.5 	 1 	 25
103 	 246 	 1 	 0.5 	 1 	 25
104 	 247 	 1 	 0.5 	 1 	 25
105 	 248 	 1 	 0.5 	 1 	 25
106 	 251 	 1 	 0.5 	 1 	 25
107 	 252 	 1 	 0.5 	 1 	 25
108 	 253 	 1 	 0.5 	 1 	 25
109 	 256 	 1 	 0.5 	 1 	 31.25
110 	 258 	 1 	 0.5 	 1 	 25
111 	 259 	 1 	 0.5 	 1 	 25
112 	 263 	 1 	 0.5 	 1 	 25
113 	 264 	 1 	 0.5 	 1 	 25
114 	 265 	 1 	 0.5 	 2 	 100
115 	 266 	 1 	 0.5 	 1 	 25
116 	 267 	 1 	 0.5 	 1 	 25
117 	 270 	 1 	 0.5 	 1 	 25
118 	 274 	 1 	 0.5 	 1 	 25
119 	 275 	 1 	 0.5 	 1 	 25
120 	 276 	 1 	 0.5 	 1 	 25
