破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 1 	 1 	 0.5 	 2 	 125
2 	 4 	 1 	 0.5 	 1 	 25
3 	 30 	 1 	 0.5 	 1 	 25
4 	 43 	 1 	 0.5 	 1 	 50
5 	 45 	 1 	 0.5 	 1 	 50
6 	 52 	 1 	 0.5 	 1 	 31.25
7 	 68 	 1 	 0.5 	 2 	 200
8 	 81 	 1 	 0.5 	 2 	 100
9 	 98 	 1 	 0.5 	 1 	 25
10 	 109 	 1 	 0.5 	 2 	 100
11 	 118 	 1 	 0.5 	 1 	 25
12 	 119 	 1 	 0.5 	 2 	 100
13 	 137 	 1 	 0.5 	 2 	 200
14 	 143 	 1 	 0.5 	 1 	 37.5
15 	 155 	 1 	 0.5 	 1 	 50
16 	 175 	 1 	 0.5 	 1 	 31.25
17 	 189 	 1 	 0.5 	 2 	 100
18 	 190 	 1 	 0.5 	 2 	 100
19 	 215 	 1 	 0.5 	 1 	 25
20 	 229 	 1 	 0.5 	 1 	 25
21 	 243 	 1 	 0.5 	 1 	 25
22 	 271 	 1 	 0.5 	 1 	 25
23 	 283 	 1 	 0.5 	 2 	 100
24 	 285 	 1 	 0.5 	 1 	 25
25 	 287 	 1 	 0.5 	 1 	 25
26 	 292 	 1 	 0.5 	 1 	 87.5
27 	 301 	 1 	 0.5 	 1 	 25
28 	 304 	 1 	 0.5 	 2 	 100
29 	 306 	 1 	 0.5 	 1 	 50
30 	 335 	 1 	 0.5 	 1 	 100
