破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 25 	 1 	 0.5 	 2 	 100
2 	 33 	 1 	 0.5 	 2 	 100
3 	 37 	 1 	 0.5 	 1 	 50
4 	 55 	 1 	 0.5 	 1 	 25
5 	 59 	 1 	 0.5 	 2 	 150
6 	 70 	 1 	 0.5 	 1 	 25
7 	 78 	 1 	 0.5 	 1 	 25
8 	 87 	 1 	 0.5 	 1 	 25
9 	 105 	 1 	 0.5 	 2 	 100
10 	 107 	 1 	 0.5 	 1 	 31.25
11 	 135 	 1 	 0.5 	 2 	 200
12 	 144 	 1 	 0.5 	 2 	 100
13 	 148 	 1 	 0.5 	 2 	 100
14 	 157 	 1 	 0.5 	 2 	 300
15 	 177 	 1 	 0.5 	 2 	 150
16 	 178 	 1 	 0.5 	 2 	 200
17 	 179 	 1 	 0.5 	 2 	 200
18 	 181 	 1 	 0.5 	 1 	 25
19 	 199 	 1 	 0.5 	 2 	 100
20 	 213 	 1 	 0.5 	 1 	 25
21 	 214 	 1 	 0.5 	 2 	 100
22 	 227 	 1 	 0.5 	 1 	 25
23 	 237 	 1 	 0.5 	 2 	 100
24 	 241 	 1 	 0.5 	 2 	 125
25 	 244 	 1 	 0.5 	 1 	 25
26 	 260 	 1 	 0.5 	 1 	 25
27 	 262 	 1 	 0.5 	 1 	 25
28 	 265 	 1 	 0.5 	 1 	 25
29 	 273 	 1 	 0.5 	 1 	 25
30 	 287 	 1 	 0.5 	 1 	 25
31 	 295 	 1 	 0.5 	 2 	 100
32 	 308 	 1 	 0.5 	 1 	 50
