破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
1 	 1 	 1 	 0.5 	 2 	 125
2 	 5 	 1 	 0.5 	 2 	 100
3 	 6 	 1 	 0.5 	 2 	 100
4 	 7 	 1 	 0.5 	 2 	 100
5 	 8 	 1 	 0.5 	 2 	 100
6 	 9 	 1 	 0.5 	 1 	 25
7 	 13 	 1 	 0.5 	 2 	 100
8 	 19 	 1 	 0.5 	 2 	 200
9 	 21 	 1 	 0.5 	 1 	 50
10 	 22 	 1 	 0.5 	 1 	 50
11 	 24 	 1 	 0.5 	 1 	 25
12 	 25 	 1 	 0.5 	 1 	 25
13 	 26 	 1 	 0.5 	 1 	 25
14 	 33 	 1 	 0.5 	 1 	 25
15 	 36 	 1 	 0.5 	 1 	 50
16 	 37 	 1 	 0.5 	 2 	 200
17 	 39 	 1 	 0.5 	 2 	 200
18 	 43 	 1 	 0.5 	 1 	 50
19 	 46 	 1 	 0.5 	 1 	 50
20 	 49 	 1 	 0.5 	 1 	 37.5
21 	 52 	 1 	 0.5 	 1 	 31.25
22 	 55 	 1 	 0.5 	 2 	 100
23 	 62 	 1 	 0.5 	 1 	 37.5
24 	 63 	 1 	 0.5 	 1 	 37.5
25 	 64 	 1 	 0.5 	 1 	 50
26 	 65 	 1 	 0.5 	 2 	 200
27 	 66 	 1 	 0.5 	 1 	 50
28 	 71 	 1 	 0.5 	 2 	 100
29 	 73 	 1 	 0.5 	 2 	 100
30 	 75 	 1 	 0.5 	 2 	 100
31 	 79 	 1 	 0.5 	 1 	 25
32 	 82 	 1 	 0.5 	 1 	 25
33 	 85 	 1 	 0.5 	 1 	 25
34 	 87 	 1 	 0.5 	 1 	 25
35 	 88 	 1 	 0.5 	 2 	 100
36 	 89 	 1 	 0.5 	 2 	 100
37 	 90 	 1 	 0.5 	 2 	 100
38 	 91 	 1 	 0.5 	 2 	 100
39 	 93 	 1 	 0.5 	 2 	 100
40 	 95 	 1 	 0.5 	 1 	 25
41 	 98 	 1 	 0.5 	 2 	 100
42 	 99 	 1 	 0.5 	 2 	 150
43 	 104 	 1 	 0.5 	 2 	 100
44 	 106 	 1 	 0.5 	 1 	 25
45 	 108 	 1 	 0.5 	 1 	 25
46 	 109 	 1 	 0.5 	 1 	 25
47 	 112 	 1 	 0.5 	 1 	 37.5
48 	 113 	 1 	 0.5 	 2 	 150
49 	 115 	 1 	 0.5 	 2 	 125
50 	 116 	 1 	 0.5 	 2 	 100
51 	 126 	 1 	 0.5 	 2 	 125
52 	 129 	 1 	 0.5 	 1 	 31.25
53 	 132 	 1 	 0.5 	 1 	 37.5
54 	 133 	 1 	 0.5 	 1 	 37.5
55 	 137 	 1 	 0.5 	 2 	 200
56 	 138 	 1 	 0.5 	 2 	 200
57 	 144 	 1 	 0.5 	 1 	 25
58 	 146 	 1 	 0.5 	 2 	 125
59 	 149 	 1 	 0.5 	 1 	 37.5
60 	 150 	 1 	 0.5 	 2 	 150
61 	 151 	 1 	 0.5 	 2 	 100
62 	 153 	 1 	 0.5 	 2 	 100
63 	 154 	 1 	 0.5 	 1 	 37.5
64 	 155 	 1 	 0.5 	 2 	 200
65 	 156 	 1 	 0.5 	 2 	 200
66 	 157 	 1 	 0.5 	 1 	 75
67 	 159 	 1 	 0.5 	 2 	 100
68 	 161 	 1 	 0.5 	 2 	 200
69 	 164 	 1 	 0.5 	 1 	 50
70 	 168 	 1 	 0.5 	 2 	 125
71 	 170 	 1 	 0.5 	 1 	 37.5
72 	 171 	 1 	 0.5 	 2 	 150
73 	 172 	 1 	 0.5 	 1 	 37.5
74 	 173 	 1 	 0.5 	 2 	 100
75 	 174 	 1 	 0.5 	 2 	 100
76 	 175 	 1 	 0.5 	 2 	 125
77 	 176 	 1 	 0.5 	 2 	 150
78 	 177 	 1 	 0.5 	 1 	 37.5
79 	 178 	 1 	 0.5 	 2 	 200
80 	 181 	 1 	 0.5 	 1 	 25
81 	 185 	 1 	 0.5 	 2 	 125
82 	 186 	 1 	 0.5 	 1 	 31.25
83 	 189 	 1 	 0.5 	 1 	 25
84 	 190 	 1 	 0.5 	 1 	 25
85 	 194 	 1 	 0.5 	 1 	 25
86 	 198 	 1 	 0.5 	 2 	 125
87 	 199 	 1 	 0.5 	 1 	 25
88 	 201 	 1 	 0.5 	 1 	 25
89 	 202 	 1 	 0.5 	 2 	 100
90 	 205 	 1 	 0.5 	 1 	 31.25
91 	 206 	 1 	 0.5 	 2 	 125
92 	 208 	 1 	 0.5 	 1 	 31.25
93 	 210 	 1 	 0.5 	 2 	 100
94 	 218 	 1 	 0.5 	 1 	 37.5
95 	 221 	 1 	 0.5 	 1 	 37.5
96 	 225 	 1 	 0.5 	 1 	 31.25
97 	 226 	 1 	 0.5 	 1 	 25
98 	 227 	 1 	 0.5 	 1 	 25
99 	 230 	 1 	 0.5 	 1 	 25
100 	 233 	 1 	 0.5 	 1 	 25
101 	 236 	 1 	 0.5 	 1 	 25
102 	 238 	 1 	 0.5 	 2 	 100
103 	 240 	 1 	 0.5 	 2 	 125
104 	 241 	 1 	 0.5 	 2 	 125
105 	 246 	 1 	 0.5 	 2 	 100
106 	 247 	 1 	 0.5 	 1 	 25
107 	 249 	 1 	 0.5 	 1 	 25
108 	 251 	 1 	 0.5 	 1 	 25
109 	 252 	 1 	 0.5 	 2 	 100
110 	 253 	 1 	 0.5 	 2 	 100
111 	 255 	 1 	 0.5 	 2 	 125
112 	 256 	 1 	 0.5 	 2 	 125
113 	 260 	 1 	 0.5 	 2 	 100
114 	 261 	 1 	 0.5 	 1 	 25
115 	 263 	 1 	 0.5 	 2 	 100
116 	 264 	 1 	 0.5 	 2 	 100
117 	 267 	 1 	 0.5 	 1 	 25
118 	 269 	 1 	 0.5 	 2 	 100
119 	 271 	 1 	 0.5 	 2 	 100
120 	 274 	 1 	 0.5 	 1 	 25
121 	 275 	 1 	 0.5 	 2 	 100
122 	 277 	 1 	 0.5 	 1 	 25
123 	 278 	 1 	 0.5 	 1 	 25
124 	 281 	 1 	 0.5 	 1 	 37.5
125 	 282 	 1 	 0.5 	 2 	 100
126 	 283 	 1 	 0.5 	 1 	 25
127 	 284 	 1 	 0.5 	 2 	 100
128 	 285 	 1 	 0.5 	 1 	 25
129 	 288 	 1 	 0.5 	 2 	 100
130 	 294 	 1 	 0.5 	 2 	 100
131 	 296 	 1 	 0.5 	 1 	 25
132 	 297 	 1 	 0.5 	 1 	 25
133 	 298 	 1 	 0.5 	 2 	 100
134 	 300 	 1 	 0.5 	 2 	 200
135 	 303 	 1 	 0.5 	 1 	 25
136 	 307 	 1 	 0.5 	 1 	 50
137 	 308 	 1 	 0.5 	 2 	 200
